Video URL,Published At,Channel Title,Title,Views,Likes,Dislikes,Comments,Subscribers,Language,Description,Niche,Est.Earnings
"<a href=""https://www.youtube.com/watch?v=ILfG6yEKTXw"" target=""_blank"">https://www.youtube.com/watch?v=ILfG6yEKTXw</a>",2023-03-26,JioCinema,Sachin Tendulkar on JioCinema | TATA IPL Streaming Free From 31st March,64M,1.5K,0,121,3.5M,Unknown,"When the Master Blaster talks, you HAVE to listen - iss baar #TATAIPL, sirf #JioCinema par, 31st March se! 
 
#IPLonJioCinema #SachinTendulkar

Download Now: https://bit.ly/3Be09Z3",low,"$32,007.4"
"<a href=""https://www.youtube.com/watch?v=8gTeE6pa4Kg"" target=""_blank"">https://www.youtube.com/watch?v=8gTeE6pa4Kg</a>",2017-04-13,2OO NOT OUT,Sachin A Billion Dreams | Official Trailer | Sachin Tendulkar,36.4M,533.2K,0,15.3K,108K,Unknown,"Dreams. Dedication. Inspiration. Presenting the official trailer of ‘Sachin A Billion Dreams’.

Directed by: James Erskine
Music by: A.R.Rahman
Produced By: Ravi Bhagchandka & Carnival Motion Pictures

Social Media:
Facebook: https://www.facebook.com/SachinTheFilm
Twitter: https://twitter.com/SachinTheFilm
Instagram: https://www.instagram.com/SachinTheFilm",low,"$18,183.7"
"<a href=""https://www.youtube.com/watch?v=rdX_mStDLzs"" target=""_blank"">https://www.youtube.com/watch?v=rdX_mStDLzs</a>",2022-01-09,Cricket Storytime,Sachin Tendulkar vs Shoaib Akhtar | Cricket Storytime,33.6M,1.4M,0,1.6K,103K,Unknown,#shoaibakhtar #SachinTendulkar #Sachin #Tendulkar #pakistan #pakistancricket #cricket #cricketmemes #pakistanmemes #meme #yorker #indiavspakistan #pakistanvsindia #cricketlovers,low,"$16,818.5"
"<a href=""https://www.youtube.com/watch?v=2cV0vTWCMqw"" target=""_blank"">https://www.youtube.com/watch?v=2cV0vTWCMqw</a>",2023-01-26,Romantic Family,Sachin Tendulkar with his beautiful wife Anjali Tendulkar #sachintendulkar #shorts #ytshorts,23.7M,479.8K,0,1.5K,722K,Unknown,,low,"$11,844.9"
"<a href=""https://www.youtube.com/watch?v=zOujNqbLw_g"" target=""_blank"">https://www.youtube.com/watch?v=zOujNqbLw_g</a>",2019-11-15,WowFactz,Sachin Tendulkar&#39;s First Match 1989 | Sachin Tendulkar vs Waqar Younis 🔥,21.8M,197.1K,0,2K,131K,hi,"मैं खेलेगा | Sachin Tendulkar vs Waqar Younis Sachin Tendulkar's First Match

Sachin tendulkar vs Waqar Younis - Feat. Sandeep Maheshwari Motivational Video in Hindi Sachin 
Tendulkar's First Match 1989

Sachin tendulkar vs Waqar Younis - ft. Sandeep Maheshwari Motivational Video in Hindi


Sachin Tendulkar's inspirational story.
India vs Pakistan Match in 1989.
Sachin Tendulkar's Debut Match Against Pakistan
Sachin first match 

Happy birthday Sachin Tendulkar 2023
Sachin Tendulkar's Birthday

Story Idea From Sandeep Maheshwari Sir ☺


#Sachin #sachintendulkar #PAKvIND #SachinFirstMatch


Music: Epic Sad Cinematic Music / Until Morning / Royalty Free 
(NCM Epic Music Ender Guney)-No Copyright Music 


------------------------------------------------------------------------
Thanks for watching! If you have a suggestion for a future video, then please leave it in the comments below!
-------------------------------------------------------------------------
Disclaimer: We have tried our best for making our video error-free.This is for educational purpose and entertainment purpose. Some footages and images used for representational purpose.
------------------------------------------------------------------------
Copyright Disclaimer Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance for fair use.",low,"$6,541.1"
"<a href=""https://www.youtube.com/watch?v=ufOos8Y4c0I"" target=""_blank"">https://www.youtube.com/watch?v=ufOos8Y4c0I</a>",2020-05-16,Sachin Tendulkar,2.1Cr views | Sachin Tendulkar batting with a blindfold | Sachin&#39;s amazing reply to Yuvi&#39;s challenge,21.8M,1M,0,4K,1.1M,en-GB,"I am challenging you back Yuvi, but this time with a twist!!👀🙅🏻‍♂️😉
All I can ask everyone to do is take care and stay safe!",low,"$10,882.0"
"<a href=""https://www.youtube.com/watch?v=Nhj4Gv1cGCI"" target=""_blank"">https://www.youtube.com/watch?v=Nhj4Gv1cGCI</a>",2021-07-09,Sachin Tendulkar,"1.7Cr views!!! | Sachin Tendulkar cooks breakfast, guess what&#39;s cooking?",21.1M,599.1K,0,6.2K,1.1M,en-GB,"Yummy, soon to go in the tummy 😋🍳",medium,"$25,330.1"
"<a href=""https://www.youtube.com/watch?v=2KyTadx_Nio"" target=""_blank"">https://www.youtube.com/watch?v=2KyTadx_Nio</a>",2021-07-01,Cricket Clock,16 Year Old SACHIN TENDULKAR Batting 1st time with KAPIL DEV 🔥| RARE VIDEO of SACHIN TENDULKAR 😱,18.9M,125.5K,0,1.9K,854K,Unknown,"#sachintendulkar #kapildev #firsttimebattingsachin #indvsnz1990 #indiavsnewzealand1990 #sachinvsnewzealand #kaildevvsnz1994 #sachinbatting



16 Year Old SACHIN TENDULKAR Batting 1st time with KAPIL DEV 🔥| RARE VIDEO of SACHIN TENDULKAR 😱",low,"$9,468.9"
"<a href=""https://www.youtube.com/watch?v=A98J0-C_IpQ"" target=""_blank"">https://www.youtube.com/watch?v=A98J0-C_IpQ</a>",2022-09-18,Super Cricket,Final match highlights: Tendulkar has rated his match winning innings in the final match,18.8M,81.8K,0,1.4K,212K,en-IN,"Sacin Tendulkar has rated his match winning innings in the final match.

© Please be advised all the content on our channel is our copyright. We have paid to official TV channels to allow us to put these clips online, If someone copies channel's content will receive a copyright strike.

Regards,
Super Cricket
Email: supercricketofficial@gmail.com

We are hard working on new awesome videos. Please stay tuned and Subscribe the channel.
Thanks

#crickethighlights    #cricket #sachintendulkar     #SuperCricket",low,"$9,385.3"
"<a href=""https://www.youtube.com/watch?v=pP4kaCB2rIQ"" target=""_blank"">https://www.youtube.com/watch?v=pP4kaCB2rIQ</a>",2021-05-10,N T N 2.0,Perry vs sachin tendulkar | Why played cricket match🏏 Australia || #Short,18.6M,1M,0,766,76.6K,Unknown,"Sachin Tendulkar played cricket match with Australia women's cricketer Paris to fund victims of bushfires

Thanks for watching
.
Please subscribe my channel#youtubeshorts#myfirstshorts
.
Thank you
Video is for educational purpose only. Copyright disclaimer under section107 of the copyright act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting,
‌Permitted by copy ride statute that might otherwise be infringing.non- profit, educationally or personal Tips the balance in favor of fair use,.
‌",low,"$9,290.9"
